id,name,ticker
1,Facebook,FB
2,Amazon,AMZN
3,Slack,WORK
4,"JPMorgan Chase & Co.",JPM
5,"Verizon Communications Inc.",VZ
6,"Intel Corporation",INTC
7,"Comcast Corporation Class A",CMCSA
8,"Pfizer Inc.",PFE
9,"Merck & Co. Inc.",MRK
10,"AT&T Inc.",T
11,"Coca-Cola Company",KO
12,"Bank of America Corp",BAC
13,"Cisco Systems Inc.",CSCO
14,"AbbVie Inc.",ABBV
15,"Exxon Mobil Corporation",XOM
16,"Chevron Corporation",CVX
17,"Bristol-Myers Squibb Company",BMY
18,"Philip Morris International Inc.",PM
19,"Oracle Corporation",ORCL
20,"Starbucks Corporation",SBUX
21,"Wells Fargo & Company",WFC
22,"Advanced Micro Devices Inc.",AMD
23,"Citigroup Inc.",C
24,"Raytheon Technologies Corporation",RTX
25,"Mondelez International Inc. Class A",MDLZ
26,"Gilead Sciences Inc.",GILD
27,"CVS Health Corporation",CVS
28,"Altria Group Inc",MO
29,"TJX Companies Inc",TJX
30,"Morgan Stanley",MS
31,"Dominion Energy Inc",D
32,"Duke Energy Corporation",DUK
33,"Colgate-Palmolive Company",CL
34,"Southern Company",SO
35,"Activision Blizzard Inc.",ATVI
36,"CSX Corporation",CSX
37,"General Electric Company",GE
38,"Boston Scientific Corporation",BSX
39,"Truist Financial Corporation",TFC
40,"Applied Materials Inc.",AMAT
41,"Charles Schwab Corporation",SCHW
42,"Micron Technology Inc.",MU
43,"U.S. Bancorp",USB
44,"Edwards Lifesciences Corporation",EW
45,"Newmont Corporation",NEM
46,"American Electric Power Company",AEP
47,"DuPont de Nemours Inc.",DD
48,"Emerson Electric Co.",EMR
49,"General Motors Company",GM
50,"Baxter International Inc.",BAX
51,"Cognizant Technology Solutions Corporation Class A",CTSH
52,"Xcel Energy Inc.",XEL
53,"Exelon Corporation",EXC
54,ConocoPhillips,COP
55,"General Mills Inc.",GIS
56,"Centene Corporation",CNC
57,"eBay Inc.",EBAY
58,"Dow Inc.",DOW
59,"Capital One Financial Corporation",COF
60,"Twitter Inc.",TWTR
61,"Ross Stores Inc.",ROST
62,"Sysco Corporation",SYY
63,"Johnson Control International plc",JCI
64,"WEC Energy Group Inc",WEC
65,"Eversource Energy",ES
66,"PACCAR Inc",PCAR
67,"Bank of New York Mellon Corporation",BK
68,"MetLife Inc.",MET
69,"Monster Beverage Corporation",MNST
70,"Ball Corporation",BLL
71,"IHS Markit Ltd.",INFO
72,"Allstate Corporation",ALL
73,"Public Service Enterprise Group Inc",PEG
74,"Yum! Brands Inc.",YUM
75,"Ford Motor Company",F
76,"Consolidated Edison Inc.",ED
77,"Archer-Daniels-Midland Company",ADM
78,"Prudential Financial Inc.",PRU
79,"Kroger Co.",KR
80,"HP Inc.",HP
81,"Fastenal Company",FAST
82,"Aptiv PLC",APTV
83,"Corning Inc",GLW
84,"Otis Worldwide Corporation",OTIS
85,"Paychex Inc.",PAYX
86,"Carrier Global Corp.",CARR
87,"Walgreens Boots Alliance Inc",WBA
88,"D.R. Horton Inc.",DHI
89,"American International Group Inc.",AIG
90,"Hilton Worldwide Holdings Inc",HLT
91,"Aflac Incorporated",AFL
92,"Corteva Inc",CTVA
93,"Freeport-McMorRan Inc.",FCX
94,"V.F. Corporation",VFC
95,"Kinder Morgan Inc Class P",KMI
96,"Welltower Inc.",WELL
97,"Fortive Corp.",FTV
98,"State Street Corporation",STT
99,"Southwest Airlines Co.",LUV
100,"Williams Companies Inc.",WMB
101,"Phillips 66",PSX
102,"Lennar Corporation Class A",LEN
