DAR,Darling Ingredients Inc
BJ,Bjs Wholesale Club Holdings Inc
NVTA,Invitae Corp
PLUG,Plug Power Inc
PFGC,Performance Food Group
STAG,Stag Industrial Reit Inc
IIVI,Ii Vi Inc
LSCC,Lattice Semiconductor Corp
ESNT,Essent Group Ltd
FOLD,Amicus Therapeutics Inc
RDFN,Redfin Corp
NEO,Neogenomics Inc
HALO,Halozyme Therapeutics Inc
HR,Healthcare Realty Trust Reit Inc
FFIN,First Financial Bankshares Inc
SAIL,Sailpoint Technologies Holdings In
RXN,Rexnord Corp
WMGI,Wright Medical Group Nv
FGEN,Fibrogen Inc
INSM,Insmed Inc
BLDR,Builders Firstsource Inc
DOC,Physicians Realty Trust Reit
ACIW,Aci Worldwide Inc
POR,Portland General Electric
BRKS,Brooks Automation Inc
KBR,Kbr Inc
LPX,Louisiana Pacific Corp
GBCI,Glacier Bancorp Inc
EYE,National Vision Holdings Inc
FATE,Fate Therapeutics Inc
CNNE,Cannae Holdings Inc
RDN,Radian Group Inc
CLF,Cleveland Cliffs Inc
HASI,Hannon Armstrong Sustainable Infra
KBH,Kb Home
UBSI,United Bankshares Inc
VLY,Valley National
BBBY,Bed Bath And Beyond Inc
IRDM,Iridium Communications Inc
PCH,Potlatchdeltic Corp
TMHC,Taylor Morrison Home Corp
TGTX,Tg Therapeutics Inc
VIAV,Viavi Solutions Inc
BXMT,Blackstone Mortgage Trust Reit Cla
AVNT,Avient Corp
WSC,Willscot Mobile Mini Holdings Corp
CIT,Cit Group Inc
BBIO,Bridgebio Pharma Inc
THC,Tenet Healthcare Corp
LXP,Lexington Realty Trust Reit
SBRA,Sabra Health Care Reit Inc
TGNA,Tegna Inc
SVMK,Svmk Inc
KMT,Kennametal Inc
BMCH,Bmc Stock Holdings Inc
BYD,Boyd Gaming Corp
NJR,New Jersey Resources Corp
MTZ,Mastec Inc
AJRD,Aerojet Rocketdyne Holdings Inc
HL,Hecla Mining
APPS,Digital Turbine Inc
PRSP,Perspecta Inc
CNO,Cno Financial Group Inc
CVET,Covetrus Inc
HOMB,Home Bancshares Inc
AIMC,Altra Industrial Motion Corp
MMSI,Merit Medical Systems Inc
OVV,Ovintiv Inc
TENB,Tenable Holdings Inc
KTOS,Kratos Defense And Security Soluti
