JPM,JPMorgan Chase & Co.
VZ,Verizon Communications Inc.
INTC,Intel Corporation
CMCSA,Comcast Corporation Class A
PFE,Pfizer Inc.
MRK,Merck & Co. Inc.
T,AT&T Inc.
KO,Coca-Cola Company
BAC,Bank of America Corp
CSCO,Cisco Systems Inc.
ABBV,AbbVie Inc.
XOM,Exxon Mobil Corporation
CVX,Chevron Corporation
BMY,Bristol-Myers Squibb Company
PM,Philip Morris International Inc.
ORCL,Oracle Corporation
SBUX,Starbucks Corporation
WFC,Wells Fargo & Company
AMD,Advanced Micro Devices Inc.
C,Citigroup Inc.
RTX,Raytheon Technologies Corporation
MDLZ,Mondelez International Inc. Class A
GILD,Gilead Sciences Inc.
CVS,CVS Health Corporation
MO,Altria Group Inc
TJX,TJX Companies Inc
MS,Morgan Stanley
D,Dominion Energy Inc
DUK,Duke Energy Corporation
CL,Colgate-Palmolive Company
SO,Southern Company
ATVI,Activision Blizzard Inc.
CSX,CSX Corporation
GE,General Electric Company
BSX,Boston Scientific Corporation
TFC,Truist Financial Corporation
AMAT,Applied Materials Inc.
SCHW,Charles Schwab Corporation
MU,Micron Technology Inc.
USB,U.S. Bancorp
EW,Edwards Lifesciences Corporation
NEM,Newmont Corporation
AEP,American Electric Power Company
DD,DuPont de Nemours Inc.
EMR,Emerson Electric Co.
GM,General Motors Company
BAX,Baxter International Inc.
CTSH,Cognizant Technology Solutions Corporation Class A
XEL,Xcel Energy Inc.
EXC,Exelon Corporation
COP,ConocoPhillips
GIS,General Mills Inc.
CNC,Centene Corporation
EBAY,eBay Inc.
DOW,Dow Inc.
COF,Capital One Financial Corporation
TWTR,Twitter Inc.
ROST,Ross Stores Inc.
SYY,Sysco Corporation
JCI,Johnson Control International plc
WEC,WEC Energy Group Inc
ES,Eversource Energy
PCAR,PACCAR Inc
BK,Bank of New York Mellon Corporation
MET,MetLife Inc.
MNST,Monster Beverage Corporation
BLL,Ball Corporation
INFO,IHS Markit Ltd.
ALL,Allstate Corporation
PEG,Public Service Enterprise Group Inc
YUM,Yum! Brands Inc.
F,Ford Motor Company
ED,Consolidated Edison Inc.
ADM,Archer-Daniels-Midland Company
PRU,Prudential Financial Inc.
KR,Kroger Co.
HP,HP Inc.
FAST,Fastenal Company
APTV,Aptiv PLC
GLW,Corning Inc
OTIS,Otis Worldwide Corporation
PAYX,Paychex Inc.
CARR,Carrier Global Corp.
WBA,Walgreens Boots Alliance Inc
DHI,D.R. Horton Inc.
AIG,American International Group Inc.
HLT,Hilton Worldwide Holdings Inc
AFL,Aflac Incorporated
CTVA,Corteva Inc
FCX,Freeport-McMorRan Inc.
VFC,V.F. Corporation
KMI,Kinder Morgan Inc Class P
WELL,Welltower Inc.
FTV,Fortive Corp.
STT,State Street Corporation
LUV,Southwest Airlines Co.
WMB,Williams Companies Inc.
PSX,Phillips 66
LEN,Lennar Corporation Class A
